Date,stock1,stock2,spread,zscore,position,pnl
2001-10-10,65.224899,32.212574,-2.700065777626733,-0.031446150842381636,0.0,0.0
2001-10-11,66.77125500000001,32.730282,-2.2453734759420456,0.06963661999554946,0.0,-0.0
2001-10-12,66.28756700000001,32.62672,-2.510685719869244,0.010654981964677547,0.0,0.0
2001-10-15,66.01792900000001,32.749428,-3.0390716416569745,-0.10681063785814615,0.0,0.0
2001-10-16,66.92984799999999,33.190456,-3.0571252469491554,-0.11082413982373142,0.0,0.0
2001-10-17,64.550804,32.250927000000004,-3.455033736556274,-0.19928328575692103,0.0,0.0
2001-10-18,64.749077,32.043834999999994,-2.8200767011318106,-0.05812581230523318,0.0,-0.0
2001-10-19,65.145599,32.442665000000005,-3.2645465977204395,-0.1569360374503763,0.0,0.0
2001-10-22,66.41439799999999,32.7341,-2.610281292232642,-0.01148613716221576,0.0,-0.0
2001-10-23,66.01792900000001,32.519352000000005,-2.5539224512763212,0.0010430122954977132,0.0,-0.0
2001-10-24,66.089272,32.730282,-2.9273564759420623,-0.0819752085947915,0.0,0.0
2001-10-25,67.413612,33.458897,-3.139408700029776,-0.129116596944041,0.0,0.0
2001-10-26,67.762512,33.458897,-2.7905087000297755,-0.05155254183538179,0.0,-0.0
2001-10-29,66.01792900000001,32.787788,-3.1199593611192427,-0.12479280905328838,0.0,0.0
2001-10-30,65.066322,32.097534,-2.616063965141336,-0.01277168476945364,0.0,-0.0
2001-10-31,65.542084,32.634403000000006,-3.2723694588846115,-0.1586751398706836,0.0,0.0
2001-11-01,66.73159799999999,33.209633000000004,-3.2958127807377053,-0.16388683120958702,0.0,0.0
2001-11-02,66.92984799999999,32.97953,-2.6123566568735725,-0.011947512047224896,0.0,-0.0
2001-11-05,67.722862,33.458897,-2.83015870002977,-0.06036714425744518,0.0,0.0
2001-11-06,68.785461,33.938248,-2.7783420048254186,-0.04884776047304016,0.0,-0.0
2001-11-07,68.793442,33.708153,-2.2851717501415862,0.060789054695341106,0.0,-0.0
2001-11-08,68.500015,33.631462,-2.4168844619955507,0.03150796544125157,0.0,0.0
2001-11-09,68.246269,33.516426,-2.4280600841003093,0.029023509812684527,0.0,0.0
2001-11-12,68.634811,33.650631,-2.322509126603805,0.05248857224900037,0.0,-0.0
2001-11-13,69.871948,34.264202000000004,-2.379177103615987,0.03989069866955315,0.0,0.0
2001-11-14,70.117752,34.605511,-2.8530734853143684,-0.06546133648621467,0.0,0.0
2001-11-15,69.626099,34.47514,-3.0698199974620195,-0.1136463133071664,0.0,0.0
2001-11-16,69.499207,34.509628,-3.269435033666781,-0.15802278699218533,0.0,0.0
2001-11-19,70.57769,34.896954,-3.0076860490068356,-0.09983329811055858,0.0,-0.0
2001-11-20,69.792671,34.697540000000004,-3.3722112093600884,-0.1808709869214858,0.0,0.0
2001-11-21,69.626099,34.578666999999996,-3.2881219508710444,-0.16217708070339898,0.0,-0.0
2001-11-23,70.490433,35.081013,-3.4830586057458106,-0.20551350214623082,0.0,0.0
2001-11-26,71.156609,35.261261,-3.1969621067269287,-0.14191131064065615,0.0,-0.0
2001-11-27,71.164551,35.146225,-2.9464497288316807,-0.0862198349041464,0.0,-0.0
2001-11-28,69.729179,34.532658000000005,-3.088025186409652,-0.11769351387695068,0.0,0.0
2001-11-29,71.449989,35.548874,-3.5100565503583994,-0.2115154226499607,0.0,0.0
2001-11-30,70.260475,35.127041,-3.8100734345104,-0.27821225880901485,0.0,0.0
2001-12-03,69.840202,34.896954,-3.7451740490068346,-0.2637844585404087,0.0,-0.0
2001-12-04,71.449989,35.702267,-3.833508321773337,-0.28342207505185707,0.0,0.0
2001-12-05,73.194633,36.488419,-3.7465817991118797,-0.26409741585404284,0.0,-0.0
2001-12-06,73.765587,37.006107,-4.267249324476481,-0.3798471568419164,0.0,0.0
2001-12-07,73.35323299999999,36.726181,-4.089338054450494,-0.3402956533946616,0.0,-0.0
2001-12-10,72.243034,36.089581,-3.857172033342991,-0.2886827612893579,0.0,-0.0
2001-12-11,72.361946,36.296665000000004,-4.174927199587131,-0.35932299982653654,0.0,0.0
2001-12-12,72.084435,36.354202,-4.573763452837937,-0.4479883971509179,0.0,0.0
2001-12-13,70.855263,35.706108,-4.436333636957244,-0.41743633692580184,0.0,-0.0
2001-12-14,71.925827,36.113781,-4.225408303702395,-0.37054546798802196,0.0,-0.0
2001-12-17,72.48091099999999,36.806061,-5.1300988195872606,-0.5716674657821607,0.0,0.0
2001-12-18,73.186722,37.132961,-5.113604698946418,-0.568000653278993,0.0,-0.0
2001-12-19,73.12326,36.844513,-4.568831534622802,-0.44689198105395567,0.0,-0.0
2001-12-20,72.330246,36.26762,-4.1453815319181615,-0.352754694308342,0.0,-0.0
2001-12-21,72.795967,36.998352000000004,-5.220516762838571,-0.5917683036530584,0.0,0.0
2001-12-24,73.471474,37.171413,-4.909934413981972,-0.5227226561251421,0.0,-0.0
2001-12-26,73.916496,37.498348,-5.154303096004881,-0.577048325139918,0.0,0.0
2001-12-27,74.385384,37.652164,-5.009758825327324,-0.5449146485091501,0.0,-0.0
2001-12-28,74.544327,37.690647,-4.931962908436475,-0.5276198167953337,0.0,-0.0
2001-12-31,73.749611,37.056042,-4.388520639162294,-0.40680701621534715,0.0,-0.0
2002-01-02,73.749611,37.398338,-5.110302255978226,-0.567266486273037,0.0,0.0
2002-01-03,74.69528199999999,37.917549,-5.259464251539427,-0.6004267305946952,0.0,0.0
2002-01-04,75.275459,38.248302,-5.376728749852916,-0.6264958335166692,0.0,0.0
2002-01-07,74.822464,37.632942,-4.532146402399704,-0.43873649920408214,0.0,-0.0
2002-01-08,74.782738,38.075226,-5.504493468996486,-0.6548992434237895,0.0,0.0
2002-01-09,74.544327,37.690647,-4.931962908436475,-0.5276198167953337,0.0,-0.0
2002-01-10,74.981438,37.921378999999995,-4.981384371600413,-0.5386067158850392,0.0,0.0
2002-01-11,73.948288,37.459872999999995,-5.041380882075998,-0.5519445566556197,0.0,0.0
2002-01-14,72.994637,36.902198999999996,-4.819093976356385,-0.5025278934135177,0.0,-0.0
2002-01-15,73.662178,37.152206,-4.6787296207673705,-0.47132345485749094,0.0,-0.0
2002-01-16,71.92175300000001,36.398373,-4.829586523129066,-0.5048604943768494,0.0,0.0
2002-01-17,73.113785,36.575291,-4.010612227816949,-0.3227940931897921,0.0,-0.0
2002-01-18,72.39862099999999,36.113781,-3.7526143037024013,-0.2654385036112869,0.0,-0.0
2002-01-22,72.040947,35.883018,-3.62369047246483,-0.23677741117525805,0.0,-0.0
2002-01-23,72.986671,36.383015,-3.7322839142786677,-0.26091884913824887,0.0,0.0
2002-01-24,73.709908,36.671452,-3.6172588834794084,-0.23534760285625125,0.0,-0.0
2002-01-25,73.829094,36.644512,-3.4412659188726877,-0.19622255841517366,0.0,-0.0
2002-01-28,74.099274,36.882969,-3.6739076842484906,-0.24794121335981256,0.0,0.0
