Date,Open,High,Low,Close,Adj Close,Volume
2012-11-28,179.220001,181.259995,177.940002,181.179993,162.220352,1828800
2012-11-29,182.320007,182.600006,181.210007,182.419998,163.330612,2853500
2012-11-30,182.869995,182.869995,181.729996,182.350006,163.267914,1493800
2012-12-03,183.630005,183.649994,181.500000,182.029999,162.981415,2200500
2012-12-04,181.940002,182.509995,181.050003,181.910004,162.873962,1486000
2012-12-05,182.520004,182.979996,180.910004,182.300003,163.223206,1932900
2012-12-06,182.240005,183.110001,182.009995,182.669998,163.554443,1562600
2012-12-07,183.330002,183.460007,182.259995,182.910004,163.769348,1992200
2012-12-10,182.990005,184.110001,182.770004,184.050003,164.790070,4082500
2012-12-11,184.919998,185.339996,184.300003,184.839996,165.497360,3134800
2012-12-12,185.449997,185.770004,184.250000,184.550003,165.237701,3375900
2012-12-13,184.669998,185.059998,182.919998,183.369995,164.181259,1672300
2012-12-14,183.050003,183.669998,182.740005,183.000000,163.849915,2244200
2012-12-17,183.330002,184.729996,183.160004,184.660004,165.336243,3018500
2012-12-18,184.949997,187.419998,184.660004,187.199997,167.610428,3266100
2012-12-19,187.449997,187.820007,186.750000,186.889999,167.332809,1816000
2012-12-20,187.190002,188.229996,186.630005,188.050003,168.371490,3019500
2012-12-21,184.770004,186.490005,184.479996,186.490005,167.702438,4397500
2012-12-24,185.300003,185.869995,184.979996,185.440002,166.758194,997900
2012-12-26,185.979996,185.979996,183.910004,184.020004,165.481262,2879800
2012-12-27,184.350006,184.600006,182.000000,183.850006,165.328369,2182300
2012-12-28,182.929993,183.960007,182.479996,182.729996,164.321198,1907200
2012-12-31,182.410004,185.820007,182.080002,185.710007,167.000992,2659500
2013-01-02,190.089996,190.860001,188.610001,190.860001,171.632141,3767600
2013-01-03,190.600006,191.759995,190.149994,190.720001,171.506287,3650200
2013-01-04,191.380005,192.240005,190.509995,192.050003,172.702255,1900900
2013-01-07,191.380005,191.839996,191.000000,191.520004,172.225677,1557800
2013-01-08,191.339996,191.800003,190.369995,191.009995,171.767075,1035700
2013-01-09,191.649994,192.309998,191.490005,192.179993,172.819138,1572200
2013-01-10,193.199997,193.279999,191.500000,192.580002,173.178909,1870500
2013-01-11,192.669998,192.750000,191.630005,192.279999,172.909134,1099600
2013-01-14,192.080002,193.070007,192.009995,192.649994,173.241806,1800600
2013-01-15,191.669998,193.720001,191.610001,193.589996,174.087128,1351200
2013-01-16,193.309998,193.570007,192.699997,193.119995,173.664505,1635100
2013-01-17,193.850006,195.169998,193.740005,194.779999,175.157272,3178900
2013-01-18,194.830002,195.369995,194.220001,195.190002,175.525909,1692900
2013-01-22,195.320007,196.830002,195.210007,196.820007,176.991760,1864400
2013-01-23,196.759995,197.169998,196.460007,196.800003,176.973770,1522200
2013-01-24,197.000000,198.509995,196.839996,197.759995,177.837021,2481200
2013-01-25,198.779999,199.639999,197.729996,199.639999,179.527664,2148800
2013-01-28,199.899994,199.990005,198.369995,199.339996,179.257843,2009400
2013-01-29,199.279999,199.399994,198.429993,199.240005,179.167938,2106200
2013-01-30,199.399994,199.440002,197.830002,198.020004,178.070831,1450600
2013-01-31,198.009995,199.250000,197.889999,198.860001,178.826172,2702300
2013-02-01,199.690002,200.820007,199.240005,200.479996,180.283005,2369100
2013-02-04,199.389999,200.169998,198.029999,198.660004,178.646393,2164000
2013-02-05,199.479996,200.360001,199.059998,199.860001,179.725479,2652100
2013-02-06,199.399994,200.970001,199.289993,200.970001,180.723633,2396600
2013-02-07,200.949997,201.229996,199.289993,200.639999,180.426926,1397500
2013-02-08,201.020004,201.899994,200.899994,201.899994,181.559998,1673400
2013-02-11,201.809998,201.830002,200.919998,201.399994,181.110306,2259000
2013-02-12,201.389999,202.500000,201.380005,202.369995,181.982590,1530100
2013-02-13,202.520004,203.139999,202.000000,202.899994,182.459259,1872800
2013-02-14,202.399994,203.589996,202.300003,203.429993,182.935776,1398500
2013-02-15,203.500000,203.789993,202.649994,203.130005,182.666046,1955000
2013-02-19,203.389999,204.490005,203.300003,204.440002,183.844086,1735800
2013-02-20,204.419998,204.539993,200.779999,200.779999,180.552780,1814600
2013-02-21,200.800003,201.259995,198.100006,199.020004,178.970123,3189900
2013-02-22,200.029999,201.479996,199.729996,201.479996,181.182281,2102500
2013-02-25,201.990005,202.059998,196.880005,196.880005,177.045700,2935300
2013-02-26,197.660004,198.500000,196.360001,198.119995,178.160797,3204800
2013-02-27,198.229996,201.630005,198.039993,201.000000,180.750626,2582100
2013-02-28,200.720001,202.229996,200.509995,200.509995,180.310013,1924100
2013-03-01,199.429993,200.580002,197.699997,200.229996,180.058197,14033700
2013-03-04,199.770004,200.789993,198.850006,200.750000,180.525803,6124500
2013-03-05,201.710007,203.630005,201.710007,203.419998,182.926849,3428800
2013-03-06,203.830002,204.399994,203.289993,203.779999,183.250595,1712400
2013-03-07,203.839996,204.589996,203.740005,204.289993,183.709122,1801300
2013-03-08,205.539993,206.199997,204.149994,206.110001,185.345840,3561900
2013-03-11,205.729996,206.320007,205.320007,206.320007,185.534668,3905400
2013-03-12,206.070007,206.529999,205.350006,206.250000,185.471741,3161800
2013-03-13,206.369995,207.160004,205.809998,206.889999,186.047241,2715400
2013-03-14,207.399994,208.490005,207.179993,208.490005,187.486099,2395900
2013-03-15,207.380005,207.940002,206.940002,207.639999,187.167877,3260800
2013-03-18,205.759995,207.779999,205.619995,206.639999,186.266464,2026000
2013-03-19,207.320007,207.669998,204.669998,206.360001,186.014038,2215100
2013-03-20,207.600006,208.610001,207.070007,208.500000,187.943115,4928900
2013-03-21,206.889999,208.229996,205.970001,206.679993,186.302521,1881300
2013-03-22,207.389999,207.600006,206.809998,207.369995,186.924454,1503900
2013-03-25,207.759995,208.630005,205.809998,206.779999,186.392700,2605600
2013-03-26,207.699997,208.210007,206.919998,208.160004,187.636597,1624400
2013-03-27,206.809998,208.649994,206.080002,208.550003,187.988113,2830400
2013-03-28,208.580002,210.080002,208.339996,209.720001,189.042770,2076600
2013-04-01,209.639999,209.979996,207.020004,207.639999,187.167877,2376800
2013-04-02,208.699997,208.970001,206.339996,206.779999,186.392700,2761200
2013-04-03,207.360001,207.429993,203.029999,203.500000,183.436066,5195700
2013-04-04,203.740005,204.839996,203.440002,204.699997,184.517746,3424500
