Date,sp1,nav
2002-05-07,-3.8294834138422544,-3.8294834138422544
2002-05-08,-3.6361127645055404,-3.6361127645055404
2002-05-09,-3.2884256704107457,-3.2884256704107457
2002-05-10,-2.7691511204627517,-2.7691511204627517
2002-05-13,-2.6619821112299604,-2.6619821112299604
2002-05-14,-3.0516610302794334,-3.0516610302794334
2002-05-15,-3.5994092531540645,-3.5994092531540645
2002-05-16,-2.9274362577110935,-2.9274362577110935
2002-05-17,-2.7173976448449793,-2.7173976448449793
2002-05-20,-2.705133598319904,-2.705133598319904
2002-05-21,-2.426334020620132,-2.426334020620132
2002-05-22,-2.0665835507775654,-2.0665835507775654
2002-05-23,-2.376044856587839,-2.376044856587839
2002-05-24,-1.889330977580073,-1.889330977580073
2002-05-28,-2.0764043706886923,-2.0764043706886923
2002-05-29,-1.594912637788923,-1.594912637788923
2002-05-30,-1.7516733277894332,-1.7516733277894332
2002-05-31,-1.1273230801667182,-1.1273230801667182
2002-06-03,-1.3146434407670284,-1.3146434407670284
2002-06-04,-2.0076063083887306,-2.0076063083887306
2002-06-05,-1.85357613076755,-1.85357613076755
2002-06-06,-1.5458681101760305,-1.5458681101760305
2002-06-07,-1.4397191134066958,-1.4397191134066958
2002-06-10,-1.302760770871501,-1.302760770871501
2002-06-11,-1.7726864310803734,-1.7726864310803734
2002-06-12,-2.167560589505726,-2.167560589505726
2002-06-13,-1.916085914826212,-1.916085914826212
2002-06-14,-2.0416421277283376,-2.0416421277283376
2002-06-17,-1.5942798210165137,-1.5942798210165137
2002-06-18,-1.4397765989918696,-1.4397765989918696
2002-06-19,-1.4216980355657824,-1.4216980355657824
2002-06-20,-2.0868710334062257,-2.0868710334062257
2002-06-21,-3.057593226369562,-3.057593226369562
2002-06-24,-3.1804543099329834,-3.1804543099329834
2002-06-25,-3.3666777951165585,-3.3666777951165585
2002-06-26,-3.0467780063286938,-3.0467780063286938
2002-06-27,-3.4979596952977516,-3.4979596952977516
2002-06-28,-2.363975221654698,-2.363975221654698
2002-07-01,-2.6527180010128717,-2.6527180010128717
2002-07-02,-2.433397187922708,-2.433397187922708
2002-07-03,-1.594914581901378,-1.594914581901378
2002-07-05,-1.5773361094699112,-1.5773361094699112
2002-07-08,-1.651211570526982,-1.651211570526982
2002-07-09,-2.730631113969892,-2.730631113969892
2002-07-10,-2.572275628175703,-2.572275628175703
2002-07-11,-1.811767072376412,-1.811767072376412
2002-07-12,-1.8639748272366887,-1.8639748272366887
2002-07-15,-2.047070213969562,-2.047070213969562
2002-07-16,-1.208596484413377,-1.208596484413377
2002-07-17,-1.5400178993866263,-1.5400178993866263
2002-07-18,-1.413500907414246,-1.413500907414246
2002-07-19,-1.155063950571403,-1.155063950571403
2002-07-22,-2.270565296692766,-2.270565296692766
2002-07-23,-0.5383956206714302,-0.5383956206714302
2002-07-24,-1.0469014525966145,-1.0469014525966145
2002-07-25,-0.8774342953394196,-0.8774342953394196
2002-07-26,-1.176349503419651,-1.176349503419651
2002-07-29,-0.8338691150987572,-0.8338691150987572
2002-07-30,-0.14381287467386983,-0.14381287467386983
2002-07-31,0.6662244167645355,0.6662244167645355
2002-08-01,0.046999596589657244,0.046999596589657244
2002-08-02,0.4298210647360037,0.4298210647360037
2002-08-05,0.06376165174143011,0.06376165174143011
2002-08-06,-0.21172584113238457,-0.21172584113238457
2002-08-07,-0.15268199703623253,-0.15268199703623253
2002-08-08,0.42542409101243805,0.42542409101243805
2002-08-09,1.082370026298797,1.082370026298797
2002-08-12,1.0872488382164605,1.0872488382164605
2002-08-13,1.3945281879141973,1.3945281879141973
2002-08-14,1.2468852547630433,1.2468852547630433
2002-08-15,2.1469574583336524,2.1469574583336524
2002-08-16,1.6966837605602194,1.6966837605602194
2002-08-19,1.7743641721867078,1.7743641721867078
2002-08-20,1.3661666975713018,1.3661666975713018
2002-08-21,1.2356910429402888,1.2356910429402888
2002-08-22,1.3707853983008818,1.3707853983008818
2002-08-23,1.7730116975712917,1.7730116975712917
2002-08-26,1.4221276120683086,1.4221276120683086
2002-08-27,1.2082218849012492,1.2082218849012492
2002-08-28,1.1140020468732956,1.1140020468732956
2002-08-29,1.3198633869508285,1.3198633869508285
2002-08-30,1.1689866283723944,1.1689866283723944
2002-09-03,1.5098830545391877,1.5098830545391877
2002-09-04,1.0528731459102687,1.0528731459102687
2002-09-05,1.3894034830463937,1.3894034830463937
2002-09-06,0.9415905114823815,0.9415905114823815
2002-09-09,1.1848112488853246,1.1848112488853246
2002-09-10,1.3602324167645463,1.3602324167645463
2002-09-11,1.4281475114823863,1.4281475114823863
2002-09-12,0.9708531884908069,0.9708531884908069
2002-09-13,0.7164584850248801,0.7164584850248801
2002-09-16,1.1245291666832173,1.1245291666832173
2002-09-17,0.7457688355646965,0.7457688355646965
2002-09-18,0.2550417379686962,0.2550417379686962
2002-09-19,0.985844339251031,0.985844339251031
2002-09-20,0.9764952913014255,0.9764952913014255
2002-09-23,1.4073351557247662,1.4073351557247662
2002-09-24,1.456778056403465,1.456778056403465
2002-09-25,1.099862455344855,1.099862455344855
2002-09-26,1.3950889136087525,1.3950889136087525
